spectrum,r vs Acacia mean (fingerprint 400-1800),r vs Acacia mean (CH 2750-3100)
Acacia s10,0.962,1.0
Acacia s8,0.99,1.0
Acacia s5,0.985,1.0
Acacia s9,0.962,0.999
Acacia s4,0.977,0.999
nano s1,0.767,0.894
