spectrum,D_pos,G_pos,ID_IG,R2_DG
s3,1337.3,1620.0,1.52,0.752
s4,1385.1,1608.2,0.6,0.912
s4a,1384.4,1614.4,0.61,0.938
m1 mean,1381.5,1612.0,0.6,0.945
