wavenumber_cm-1,m5_px11_raw_despiked,m5_px11_processed,CaF2_mean_processed_norm
400.0,171.0898192771084,-0.3326318024381795,0.1442796826792439
401.0,162.12103614457806,-0.328141760474442,0.15133365793861323
402.0,164.21762977867203,-0.32365168528079036,0.15599680319576817
403.0,171.81633734939746,-0.16435490599217395,0.15914667080270437
404.0,163.64632128514094,1.226136228968278,0.16116085973471067
405.0,164.1330120724349,3.2483949929963813,0.1621179163498488
406.0,169.3003601609658,4.764599243441068,0.16208644552907964
407.0,165.747569416499,4.575386084831766,0.16177446386893263
408.0,178.19608450704246,4.619881943690512,0.157929454212337
409.0,170.451939759036,6.356735686026415,0.15604965670373788
410.0,163.84908853118716,6.024919719881295,0.15722671519994505
411.0,168.02829979879274,5.55278590493957,0.1583294576460885
412.0,172.24732193158982,5.660422832466038,0.16280911611785737
413.0,171.25979919678704,5.7257658828322615,0.1665189896615456
414.0,166.53642253521127,7.323542904929343,0.1653581753130799
415.0,172.63163983903397,7.6037212567342785,0.1624540904832366
416.0,171.9638101010102,5.913196964324609,0.1608573711734264
417.0,172.09462575452704,4.751292571972214,0.16331147333142434
418.0,164.91403822937633,4.202829945154784,0.168130057018029
419.0,163.24901010101044,4.303559594903212,0.17076037564822488
420.0,165.13105231388332,3.855587589087933,0.1789949543228851
421.0,170.20288888888885,4.106949997690901,0.1884307318467996
422.0,168.64179637096768,3.7879030383590813,0.18660555428535672
423.0,170.0000321931588,3.750673950742592,0.18702489634105993
424.0,166.91631187122732,3.4295503459162235,0.1879088937390216
425.0,163.65065656565687,2.664106659232889,0.18545900823818912
426.0,161.4557102615693,3.421652488970204,0.1848670997234496
427.0,166.35957085020254,4.599290724750507,0.19108111110859655
428.0,171.1549697580645,6.215082453141223,0.19600794361288992
429.0,171.99735010060363,7.205369345619207,0.20639688362535943
430.0,177.04261943319835,9.043208576481748,0.20721247123619588
431.0,168.94302213279678,10.953709293220054,0.20358495429084833
432.0,171.49145161290323,10.400041831030824,0.19705501865320554
433.0,168.3422226720647,9.973075325136326,0.1929922697869256
