"weights(win,fp,CH)",winner
"(0.4, 0.4, 0.2)",m5_px11
"(1, 0, 0)",m5_px11
"(0, 1, 0)",m5_px11
"(0.5, 0.5, 0)",m5_px11
"(0.34, 0.33, 0.33)",m5_px11
"(0.6, 0.3, 0.1)",m5_px11
"(0.2, 0.6, 0.2)",m5_px11
"(0.3, 0.3, 0.4)",m5_px11
"(0.5, 0.25, 0.25)",m5_px11
"(0.25, 0.5, 0.25)",m5_px11
