spectrum,map,spectrum_no_1based,X_um,Y_um,1456_pos,1456_SNR,1726_pos,1726_SNR,r_vs_S1,r_vs_S2,r_vs_CaF2
m4_px03,m4,4,-0.079,13.764,1466.7,0.0,1733.9,5.0,0.728,0.89,0.482
m4_px04,m4,5,3.671,-0.157,1462.8,-0.0,1726.5,1.3,0.889,0.932,0.419
m4_px05,m4,6,3.671,4.483,1456.8,11.9,1733.1,3.7,0.816,0.928,0.5
m4_px06,m4,7,3.671,9.124,1458.9,6.0,1722.3,2.5,0.715,0.854,0.479
m4_px07,m4,8,3.671,13.764,1462.4,1.2,1727.3,2.0,0.917,0.896,0.363
m4_px08,m4,9,7.421,-0.157,1444.2,0.0,1727.7,1.7,0.723,0.897,0.569
m4_px09,m4,10,7.421,4.483,1455.0,-0.5,1714.9,0.0,0.898,0.906,0.385
m4_px10,m4,11,7.421,9.124,1467.5,0.0,1736.9,0.0,0.793,0.925,0.5
m4_px11,m4,12,7.421,13.764,1468.0,0.0,1720.2,1.8,0.797,0.918,0.484
m4_px12,m4,13,11.172,-0.157,1445.1,0.0,1725.6,2.6,0.806,0.943,0.476
m4_px13,m4,14,11.172,4.483,1444.7,0.0,1734.3,0.0,0.906,0.928,0.371
m4_px14,m4,15,11.172,9.124,1444.2,0.0,1737.7,0.0,0.68,0.858,0.524
m4_px15,m4,16,11.172,13.764,1459.8,4.1,1736.9,0.0,0.785,0.907,0.499
m4_px16,m4,17,14.922,-0.157,1468.0,0.0,1723.2,3.7,0.618,0.854,0.528
m4_px17,m4,18,14.922,4.483,1463.2,-4.3,1716.1,0.0,0.534,0.788,0.488
m4_px18,m4,19,14.922,9.124,1467.5,0.0,1732.7,1.6,0.718,0.903,0.556
m4_px19,m4,20,14.922,13.764,1468.0,0.0,1720.2,1.2,0.803,0.923,0.465
m3_px00,m3,1,-0.079,-0.157,1446.0,0.0,1716.9,0.0,0.845,0.926,0.464
m3_px01,m3,2,-0.079,4.483,1448.1,-1.5,1729.4,2.0,0.679,0.863,0.424
m3_px02,m3,3,-0.079,9.124,1468.0,0.0,1737.7,0.0,0.675,0.803,0.518
m3_px03,m3,4,-0.079,13.764,1468.0,0.0,1721.1,2.3,0.807,0.884,0.455
m3_px04,m3,5,3.671,-0.157,1453.3,1.6,1725.6,1.8,0.829,0.94,0.47
m3_px05,m3,6,3.671,4.483,1466.7,0.0,1737.7,0.0,0.758,0.929,0.486
m3_px06,m3,7,3.671,9.124,1464.1,0.0,1734.7,0.0,0.869,0.937,0.416
m3_px07,m3,8,3.671,13.764,1459.8,1.1,1722.7,2.6,0.843,0.912,0.42
m3_px08,m3,9,7.421,-0.157,1464.1,0.0,1715.3,0.0,0.875,0.843,0.301
m3_px09,m3,10,7.421,4.483,1446.0,0.0,1715.3,0.0,0.793,0.919,0.505
m3_px10,m3,11,7.421,9.124,1454.6,-0.6,1718.6,2.8,0.721,0.903,0.507
m3_px11,m3,12,7.421,13.764,1446.0,0.0,1736.9,0.0,0.817,0.926,0.449
m3_px12,m3,13,11.172,-0.157,1456.8,-0.1,1718.6,0.7,0.492,0.655,0.469
m3_px13,m3,14,11.172,4.483,1466.2,0.0,1735.6,0.0,0.823,0.924,0.425
m3_px14,m3,15,11.172,9.124,1457.2,-0.2,1729.0,2.6,0.829,0.929,0.439
m3_px15,m3,16,11.172,13.764,1467.5,0.0,1725.6,3.2,0.787,0.946,0.514
m3_px16,m3,17,14.922,-0.157,1468.0,0.0,1734.7,0.0,0.788,0.834,0.392
m3_px17,m3,18,14.922,4.483,1444.2,0.0,1719.8,0.1,0.699,0.888,0.527
m3_px18,m3,19,14.922,9.124,1466.7,0.0,1719.4,5.0,0.818,0.943,0.451
m3_px19,m3,20,14.922,13.764,1466.7,0.0,1737.3,0.0,0.774,0.912,0.491
