spectrum,file,range,confirmed_peaks,CaF2_bands,CaF2_bands_matched,fraction,matched_SNR_sum,noise_sigma
S2,S2-EV_ACACIA-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10.l6s,200-3200,10,7,2,0.286,35.8,4.4
S1,S1-EV_ACACIA-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10.l6s,400-2000,9,7,1,0.143,46.6,4.9
