wavenumber_cm-1,intensity_raw
200.0584716796875,6354.0
200.56930541992188,6409.322265625
201.0822296142578,6384.876953125
201.593017578125,6385.59765625
202.1058807373047,6369.45556640625
202.61659240722656,6379.43896484375
203.12940979003906,6228.4677734375
203.64007568359375,6241.146484375
204.15283203125,6221.1357421875
204.66343688964844,6159.52197265625
205.17613220214844,6178.92919921875
205.6866912841797,6133.99951171875
206.1972198486328,6150.81396484375
206.70982360839844,6099.1064453125
207.2202911376953,6106.2392578125
207.73284912109375,6103.51708984375
208.24327087402344,6105.91552734375
208.75576782226562,6063.52783203125
209.26612854003906,6068.17041015625
209.77645874023438,6112.541015625
210.2888641357422,6111.59033203125
210.7991485595703,6049.68359375
211.31149291992188,6061.1416015625
211.82171630859375,6078.97021484375
212.3319091796875,6072.44580078125
212.84417724609375,6030.65478515625
213.3543243408203,6010.05126953125
213.8665313720703,6042.978515625
214.37661743164062,6020.37451171875
214.88665771484375,5969.7548828125
215.39878845214844,6031.26904296875
215.90878295898438,6050.095703125
216.41876220703125,6023.37744140625
216.93080139160156,6018.970703125
217.4407196044922,6056.74755859375
217.95059204101562,5985.10400390625
218.46255493164062,6036.814453125
218.97238159179688,5967.08544921875
219.482177734375,6105.0908203125
219.9940643310547,5986.32861328125
220.50379943847656,5954.76171875
221.01351928710938,6020.00341796875
221.52320861816406,5982.25146484375
222.03497314453125,5902.0908203125
222.5446014404297,5997.55078125
223.05419921875,5996.6806640625
223.56378173828125,5982.439453125
224.07542419433594,6004.33837890625
224.58494567871094,5988.30517578125
225.0944366455078,6013.2578125
225.60389709472656,5933.828125
226.11544799804688,5959.09716796875
226.62484741210938,6018.5751953125
227.1342315673828,5994.79541015625
227.64358520507812,6020.00439453125
228.15501403808594,5953.21533203125
228.664306640625,5922.85986328125
229.17356872558594,5919.71337890625
229.6828155517578,5946.76025390625
230.1920166015625,5961.09716796875
230.70120239257812,5971.66455078125
231.21246337890625,5903.181640625
231.72158813476562,5957.7607421875
232.23069763183594,5959.4560546875
232.73976135253906,5920.10400390625
233.24880981445312,5970.16552734375
233.75782775878906,5947.48876953125
234.26890563964844,5976.11962890625
234.7778778076172,5984.875
235.28680419921875,6031.3837890625
235.79571533203125,5936.2041015625
236.30458068847656,5987.22412109375
236.8134307861328,6048.17041015625
237.32225036621094,5965.60693359375
237.83103942871094,5983.04296875
238.33981323242188,5993.1494140625
238.85064697265625,5967.2421875
239.35935974121094,5994.4453125
239.8680419921875,5969.5400390625
240.37669372558594,5951.08642578125
240.88531494140625,5913.60791015625
241.39390563964844,5903.673828125
241.90248107910156,5989.84716796875
242.41102600097656,5952.8515625
242.91954040527344,5945.42041015625
243.4280242919922,5936.90234375
243.9364776611328,5900.45947265625
244.44491577148438,5902.99462890625
244.95330810546875,5881.36669921875
245.46168518066406,5880.7861328125
245.97003173828125,5909.84375
246.4783477783203,5892.611328125
246.98663330078125,5951.69189453125
247.49490356445312,5924.505859375
248.00314331054688,5952.54345703125
248.51133728027344,5914.53125
249.01951599121094,5925.12646484375
249.52767944335938,5945.41796875
250.03579711914062,5984.1845703125
250.5438995361328,5957.2744140625
251.0519561767578,5988.64794921875
251.55999755859375,5922.7880859375
252.06800842285156,5930.89208984375
252.5760040283203,5936.31787109375
253.08395385742188,5899.54345703125
253.59188842773438,5954.16748046875
254.09768676757812,5905.80126953125
254.60556030273438,5933.53173828125
255.1134033203125,5917.48779296875
255.6212158203125,5957.80712890625
256.1289978027344,5859.12890625
256.63677978515625,5925.41064453125
257.1445007324219,5927.7548828125
257.6522216796875,5922.90966796875
258.1598815917969,5879.81396484375
258.6654357910156,5940.53076171875
259.1730651855469,6013.77490234375
259.6806640625,5977.32763671875
260.188232421875,5962.97900390625
260.6957702636719,5958.79443359375
261.2032775878906,5882.49609375
261.70867919921875,5963.26513671875
262.21612548828125,5854.22998046875
262.7235412597656,5901.3134765625
263.23095703125,5928.6748046875
263.7383117675781,5887.8544921875
264.24566650390625,5935.67724609375
264.7508850097656,5956.31494140625
265.2581787109375,5924.53955078125
265.76544189453125,5979.88623046875
266.2726745605469,5907.03857421875
266.77777099609375,5953.4052734375
267.28497314453125,5948.17041015625
267.7921142578125,5875.048828125
268.2992248535156,5831.70703125
268.8042297363281,5870.1943359375
269.3113098144531,5913.17138671875
269.818359375,5864.51806640625
270.3253479003906,5830.14501953125
270.83026123046875,5800.11669921875
271.33721923828125,5790.97900390625
271.8441467285156,5726.078125
272.34893798828125,5781.7626953125
272.8558044433594,5741.56591796875
273.3626708984375,5748.0126953125
273.8694763183594,5714.35693359375
274.3741760253906,5689.638671875
274.8809509277344,5679.18505859375
275.3876647949219,5717.75244140625
275.89227294921875,5641.65673828125
276.3989562988281,5618.44140625
276.9056091308594,5659.80615234375
277.41015625,5667.4052734375
277.916748046875,5618.46044921875
278.4212341308594,5630.8037109375
278.9277648925781,5655.0791015625
279.43426513671875,5574.19677734375
279.93865966796875,5584.623046875
280.44512939453125,5544.51171875
280.9515686035156,5475.35546875
281.45587158203125,5542.90625
281.9622497558594,5505.24462890625
282.46649169921875,5559.65087890625
282.9728088378906,5521.54736328125
283.4791259765625,5500.2705078125
283.9832763671875,5535.46826171875
284.4895324707031,5489.7255859375
284.99365234375,5476.490234375
285.49981689453125,5460.986328125
286.0038757324219,5428.73193359375
286.510009765625,5427.37451171875
287.0140380859375,5399.70458984375
287.52008056640625,5404.19921875
288.0240478515625,5388.34619140625
288.5300598144531,5399.92041015625
289.0360412597656,5289.234375
289.5399169921875,5321.287109375
290.0458679199219,5390.0439453125
290.5496826171875,5325.09326171875
291.053466796875,5255.4970703125
291.559326171875,5282.73681640625
292.06304931640625,5311.46826171875
292.56884765625,5312.9931640625
293.072509765625,5274.61279296875
293.5782470703125,5258.2978515625
294.0818786621094,5247.00390625
294.5875549316406,5207.662109375
295.09112548828125,5267.880859375
295.5967712402344,5255.220703125
296.10028076171875,5219.43017578125
296.6058654785156,5251.931640625
297.10931396484375,5209.34765625
297.61273193359375,5201.8056640625
298.11822509765625,5225.64599609375
298.6216125488281,5197.521484375
299.1270446777344,5154.24951171875
299.63037109375,5137.97509765625
300.1336669921875,5145.75341796875
300.6390075683594,5105.3203125
301.1422424316406,5094.92333984375
301.6454772949219,5090.6376953125
302.1507263183594,5065.2822265625
302.6539001464844,5049.23779296875
303.15911865234375,5081.88818359375
303.6622009277344,5056.04150390625
304.165283203125,5036.05419921875
304.67041015625,4942.7822265625
305.1734313964844,4995.46630859375
305.6764221191406,4999.15869140625
306.1794128417969,5009.71826171875
306.6844177246094,4998.39599609375
307.1873474121094,5007.0791015625
307.6902160644531,5000.1806640625
308.1951599121094,4971.16650390625
308.697998046875,4931.80712890625
309.2007751464844,4923.1005859375
309.7056579589844,4942.03271484375
310.2084045410156,4898.4013671875
310.71112060546875,4874.541015625
311.21380615234375,4901.69091796875
311.7185363769531,4923.076171875
312.22119140625,4895.84423828125
312.7237854003906,4942.3037109375
313.22637939453125,4913.03857421875
313.73101806640625,4903.5419921875
314.2335510253906,4885.75341796875
314.7360534667969,4880.068359375
315.238525390625,4866.71337890625
315.740966796875,4853.14892578125
316.2454528808594,4884.34716796875
316.7478332519531,4897.65869140625
317.2502136230469,4850.75439453125
317.7525329589844,4876.5322265625
318.2548522949219,4920.10302734375
318.75714111328125,4920.982421875
319.261474609375,4894.39453125
319.7637023925781,4923.02783203125
320.2658996582031,4930.8603515625
320.76806640625,4923.44091796875
321.27020263671875,4948.9140625
321.7723388671875,4965.0498046875
322.2744140625,4898.30859375
322.778564453125,4888.64697265625
323.2806091308594,4852.91455078125
323.7825927734375,4813.39306640625
324.2845764160156,4794.46875
324.7865295410156,4784.9814453125
325.2884521484375,4744.2470703125
325.7903747558594,4732.27880859375
326.292236328125,4705.54541015625
326.7940673828125,4748.8037109375
327.2958984375,4640.6298828125
327.7976989746094,4702.39501953125
328.3015441894531,4688.611328125
328.8032531738281,4639.50048828125
329.3049621582031,4618.56640625
329.806640625,4576.2021484375
330.3083190917969,4576.81298828125
330.8099365234375,4568.80322265625
331.3115234375,4568.349609375
331.8131103515625,4532.18310546875
332.31463623046875,4518.45361328125
332.816162109375,4580.77490234375
333.3176574707031,4507.9853515625
333.8191223144531,4526.38134765625
333.9397888183594,4528.65771484375
334.44122314453125,4584.98388671875
334.9447021484375,4525.216796875
335.4481506347656,4486.1962890625
335.9515686035156,4482.12109375
336.4529113769531,4497.44873046875
336.9562683105469,4508.2822265625
337.4596252441406,4461.57421875
337.9629211425781,4502.7490234375
338.4641418457031,4468.35205078125
338.9674072265625,4440.0634765625
339.47064208984375,4418.53369140625
339.9738464355469,4461.45263671875
340.4749450683594,4455.34814453125
340.97808837890625,4454.74462890625
341.4812316894531,4409.58154296875
341.98223876953125,4429.97607421875
342.4853210449219,4397.77099609375
342.9883728027344,4424.12060546875
343.4913635253906,4424.677734375
343.9922790527344,4492.68701171875
344.4952392578125,4407.435546875
344.9981689453125,4425.38134765625
345.4990234375,4437.80419921875
346.00189208984375,4397.36767578125
346.5047302246094,4395.11376953125
347.0054931640625,4447.9833984375
347.5082702636719,4402.77734375
348.00897216796875,4419.021484375
348.51171875,4447.74365234375
349.0144348144531,4428.03271484375
349.5150451660156,4379.90625
350.0177001953125,4387.1962890625
350.51824951171875,4364.8115234375
351.0208740234375,4398.74072265625
351.5234375,4385.6201171875
352.02392578125,4422.44970703125
352.52642822265625,4337.74609375
353.02685546875,4420.1552734375
353.5293273925781,4352.85546875
354.0317687988281,4336.8935546875
354.5321044921875,4341.22021484375
355.03448486328125,4355.3916015625
355.5347595214844,4362.0322265625
356.037109375,4375.76513671875
356.5373229980469,4358.7138671875
357.03961181640625,4345.044921875
357.539794921875,4363.541015625
358.0419921875,4323.4375
358.5421142578125,4324.74462890625
359.0442810058594,4359.935546875
359.54437255859375,4328.61376953125
360.0464782714844,4287.447265625
360.5464782714844,4375.57666015625
361.0485534667969,4324.55517578125
361.5484924316406,4327.44921875
362.0505065917969,4359.3671875
362.5504150390625,4332.322265625
363.0523681640625,4332.5576171875
363.5522155761719,4383.50537109375
364.0541076660156,4276.8017578125
364.55389404296875,4289.34033203125
365.05364990234375,4329.5029296875
365.55548095703125,4333.7119140625
366.05517578125,4358.26953125
366.55694580078125,4262.64453125
367.0566101074219,4232.111328125
367.5583190917969,4292.29052734375
368.05792236328125,4249.12939453125
368.5574951171875,4262.5615234375
369.0591125488281,4247.5126953125
369.5586242675781,4194.015625
370.0581359863281,4283.04931640625
370.5596618652344,4237.7978515625
371.0591125488281,4256.03173828125
371.56060791015625,4227.259765625
372.05999755859375,4279.32958984375
372.5593566894531,4274.1171875
373.0607604980469,4216.0263671875
373.56005859375,4229.26025390625
374.059326171875,4249.8046875
374.5606689453125,4261.48388671875
375.05987548828125,4232.2724609375
375.55908203125,4230.66748046875
376.0603332519531,4271.09033203125
376.5594787597656,4280.67431640625
377.05859375,4340.86474609375
377.55767822265625,4284.20068359375
378.0588073730469,4295.38037109375
378.5578308105469,4232.99462890625
379.0568542480469,4214.1142578125
379.5578918457031,4256.625
380.0568542480469,4205.40771484375
380.5557861328125,4207.1669921875
381.0546875,4218.53564453125
381.5556335449219,4214.51220703125
382.0544738769531,4182.228515625
382.55328369140625,4128.9453125
383.0520935058594,4174.95849609375
383.55084228515625,4165.18505859375
384.0516357421875,4185.3291015625
384.55035400390625,4125.2001953125
385.0490417480469,4266.11181640625
385.5476989746094,4219.11767578125
386.04632568359375,4162.0234375
386.5469970703125,4207.74951171875
387.0455627441406,4157.00830078125
387.54412841796875,4140.68798828125
388.0426330566406,4190.568359375
388.5411376953125,4199.50439453125
389.04168701171875,4140.85791015625
389.54010009765625,4112.54736328125
390.03851318359375,4124.42041015625
390.53692626953125,4176.74365234375
391.0352783203125,4195.7041015625
391.5335998535156,4241.00341796875
392.03192138671875,4200.1015625
392.5301818847656,4189.40625
393.030517578125,4123.541015625
393.5287170410156,4137.8076171875
394.02691650390625,4138.28662109375
394.52508544921875,4150.3701171875
395.02325439453125,4121.33056640625
395.5213623046875,4179.43359375
396.0194396972656,4082.965576171875
396.51751708984375,4168.33251953125
397.0155334472656,4137.06787109375
397.5135498046875,4151.73486328125
398.01153564453125,4150.66845703125
398.5094909667969,4155.4150390625
399.0074157714844,4139.87548828125
399.50531005859375,4103.4482421875
400.003173828125,4143.81005859375
400.50103759765625,4125.173828125
401.00091552734375,4146.9013671875
401.49871826171875,4155.30908203125
401.9964904785156,4100.1728515625
402.4942321777344,4131.85986328125
402.991943359375,4121.65234375
403.4896240234375,4133.12353515625
403.9851989746094,4148.95849609375
404.48284912109375,4155.89013671875
