,s4,s5,s8,s9,s10
s4,1.0,0.986,0.983,0.906,0.913
s5,0.986,1.0,0.987,0.923,0.928
s8,0.983,0.987,1.0,0.943,0.949
s9,0.906,0.923,0.943,1.0,0.992
s10,0.913,0.928,0.949,0.992,1.0
