wavenumber_cm-1,m2_px16_processed,meanCaF2_processed_norm
400.0,21.694859017085662,0.02471494922850436
401.0,21.66435426277693,0.025917837319330755
402.0,21.63384950629914,0.026708860507506295
403.0,21.603344743316793,0.027240206358977836
404.0,22.52447873505509,0.027577926394758246
405.0,24.748586031181027,0.02773614694530207
406.0,27.5185106240552,0.027730088897974493
407.0,30.115131853436395,0.02768251344242607
408.0,30.91931196254008,0.027024208251284036
409.0,32.871819067412815,0.026684347371101886
410.0,33.547373309711055,0.026893016085029326
411.0,30.47087901798047,0.027101561585168056
412.0,29.661547614085592,0.02786724834561835
413.0,29.159993436464845,0.028507290534966485
414.0,29.052319771142677,0.028305979801164744
415.0,28.24670661660409,0.02780655877599833
416.0,29.094388066418606,0.027534995434673082
417.0,28.245768987225027,0.027972637285697037
418.0,29.022736006892465,0.028801761104083723
419.0,30.438908448444394,0.029260410679240234
420.0,29.627370825128704,0.030675039963625854
421.0,27.930901120770837,0.03230145937706803
422.0,27.803942944723342,0.03199481280671547
423.0,26.69857454254424,0.03205808016357805
424.0,26.700551279067056,0.032197954135478254
425.0,26.79946594784228,0.031765303524211246
426.0,26.93277519909641,0.03165474354807857
427.0,27.87526859236776,0.032716279416275765
428.0,30.442609031073147,0.033550436931351804
429.0,31.043857957158078,0.03532054933689317
430.0,31.23116167715246,0.035444203610267705
431.0,32.2682187170097,0.034824950670524005
432.0,33.63140427556853,0.03371360249394447
433.0,34.119197255635925,0.033014346256083106
434.0,34.5184570341247,0.03301623928625558
435.0,34.96429379629498,0.03277003090750447
436.0,36.29583208996665,0.032394425329958836
437.0,38.432804683681695,0.03389563719321318
438.0,38.23197293751424,0.03437500255195817
439.0,37.7081489936227,0.03530673646640804
440.0,36.702904614674395,0.034834823081104554
441.0,37.34697256898048,0.03455670847299663
442.0,37.291493121272865,0.0333785901363388
443.0,36.41119916418214,0.033095315011506976
444.0,35.94148643196712,0.03296842708094143
445.0,35.273671244234656,0.03214712463019411
446.0,36.00681633379855,0.03167398221403543
447.0,35.19207945616934,0.03166624201581025
448.0,34.17788061832283,0.03238276187101397
449.0,34.31342552290462,0.033299309035023754
450.0,36.05809331009313,0.03384021072798985
451.0,37.09567309542134,0.03410585875949625
452.0,36.38033076255697,0.03442379149096645
453.0,37.77272525204692,0.03470478548249211
454.0,36.85442303812766,0.034033970057761716
455.0,35.13136171293278,0.03289090073806488
456.0,34.59750538947998,0.03218584909621438
457.0,33.01058203921828,0.03053375956974409
458.0,32.64459920901014,0.03190169036949655
459.0,34.0054157275521,0.03152176137494749
460.0,34.465999860895074,0.03144065113840977
461.0,33.749501261077015,0.031033996323336734
462.0,35.78391385389716,0.031694686059745056
463.0,38.58423403782653,0.03115486251689612
464.0,35.96227694523728,0.030745807034540516
465.0,34.4211157506654,0.031719352453940364
466.0,33.34326353460996,0.03210909250053111
467.0,32.58768762968209,0.031036571416451986
468.0,30.77836320359952,0.032007722734581204
469.0,30.703742467008592,0.03090276875268106
470.0,29.580768031018042,0.03094268623860848
471.0,30.573195749970846,0.030548988811734085
472.0,35.42065837477472,0.02974972827795992
473.0,36.5425569675539,0.028767454923009327
474.0,34.91998341704605,0.028588446815499585
475.0,34.2872255537647,0.030194902713213408
476.0,34.11219367672622,0.030510736811131388
477.0,33.83075252788166,0.029423229721392476
478.0,31.39575726770196,0.029002081565425386
479.0,32.82030252546543,0.02845046965785918
480.0,32.958094991830066,0.029493893826658003
481.0,33.33460266390585,0.029449665601897556
482.0,35.90004091061381,0.028079210831455294
483.0,37.67338298691119,0.028227444712462146
