map,spectrum,X_um,Y_um,score,r_meanCaF2,dr_meanCaF2,band_cos_meanCaF2
m1,m1_px12,11.25,0.079,0.4735,0.656,0.1999,0.4942
m2,m2_px16,15.078,-0.0,0.5928,0.7566,0.3471,0.2112
m3,m3_px15,11.172,13.764,0.474,0.6553,0.2021,0.5235
m4,m4_px05,3.671,4.483,0.5059,0.6471,0.2942,0.3994
m5,m5_px09,7.421,4.483,0.5412,0.7014,0.3008,0.4758
