spectrum,D_pos,D_FWHM,G_pos,G_FWHM,D3_pos,ID_IG_height,AD_AG_area,R2
Mean of 100 map spectra,1360.3,227.2,1604.9,64.0,1543.8,0.73,2.59,0.96
S1,1377.7,89.4,1608.3,75.0,1550.0,0.26,0.31,0.935
S2,1366.6,96.4,1607.4,50.2,1547.6,0.86,1.65,0.869
