wavenumber_cm-1,raw_despiked,processed
400.0,160.14097590361442,0.2157738453052218
401.0,174.8885180722896,3.164984560491405
402.0,171.36429979879276,6.1030520779616495
403.0,173.61661445783182,8.917637516553697
404.0,165.07414257028154,11.496401384800095
405.0,181.10319919517116,13.727003299470056
406.0,184.25741247484925,13.844802046858689
407.0,181.41211670020147,16.723739897161494
408.0,179.5478269617707,17.785755397989533
409.0,182.6550642570279,20.104048321364502
410.0,179.41140040241453,16.785815751380994
411.0,186.5910120724346,14.4243414240253
412.0,176.2725794768611,14.022991463373586
413.0,180.70459437750984,12.473322261805293
414.0,161.90840040241454,10.436728680081416
415.0,175.94142052313927,8.745194552199138
416.0,178.88535555555555,6.488950541546245
417.0,166.93019718309878,4.7586278469398735
418.0,168.21895573440634,2.2474744118606225
419.0,165.39239393939388,2.2131200115619833
420.0,161.9835573440644,-1.509285057051585
421.0,158.64356565656564,-2.1258027696474073
422.0,164.36486491935494,-1.7640033639677597
423.0,167.31054728370233,-1.2282531632341431
424.0,159.94728571428578,-0.6796475637528943
425.0,168.62011717171688,-0.05062396757753618
426.0,161.98595372233396,0.6440710263000824
427.0,167.85485425101209,-0.13638826105602675
428.0,162.17579032258064,0.9007879505666949
429.0,166.27401408450703,2.0247786114584585
430.0,167.9354129554656,1.7090077036334037
431.0,165.81479476861156,2.73252607093508
432.0,172.71832056451612,2.6442560242129503
433.0,164.82295546558726,4.07055406126878
434.0,167.0889677419354,4.006948439260185
435.0,169.5124576612903,3.928487055512619
436.0,169.15137499999986,3.7328494706399056
437.0,171.8578539553749,4.46436872902936
438.0,166.12969230769227,4.024006540798439
439.0,167.70898787878787,3.269679570062209
440.0,168.62552822580645,2.9878429656606613
441.0,171.6105,2.893702347879639
442.0,158.6687818181818,2.440938017809998
443.0,172.52534343434348,3.0011740375461784
444.0,170.52109898989897,4.185832982658923
445.0,168.12401212121213,5.241856012700794
446.0,169.031622983871,6.476806233450105
447.0,174.63410101010155,8.180314054111477
448.0,178.13080202020237,9.969643386541264
449.0,172.67233333333343,11.611199920129309
450.0,175.7519395161291,12.095774431806063
451.0,178.37531034482762,11.783231027949284
452.0,185.476281947262,11.25325155667386
453.0,168.43709533468547,11.713186227876974
454.0,173.40464242424233,12.793513916293875
455.0,178.82135222672068,14.004309878119528
456.0,181.86505273833663,14.914934825815322
457.0,183.5258580121705,16.073934082050613
458.0,182.56494523326555,18.6431123285613
459.0,185.5733090909091,18.187855844150675
460.0,179.65466532258048,17.102474975731127
461.0,181.12938181818174,17.765431529487785
462.0,180.37870303030365,17.0184013030821
463.0,179.40654545454547,14.260977919330514
464.0,181.30915182186249,13.619611180908038
465.0,183.6071700404859,12.108692442797206
466.0,166.96372727272788,10.972533703504553
467.0,168.1007105263158,9.285917664021099
468.0,183.10778542510118,9.893243091533293
469.0,167.89545748987854,8.788670322294706
470.0,177.6611012145749,8.308850481668742
471.0,171.74714574898783,9.94515714341955
472.0,179.66666801619445,8.707517763390172
473.0,162.82398785425096,5.301628425471023
474.0,171.1555060728744,4.635216543289573
475.0,172.44433198380563,4.586532340460849
476.0,164.29892105263158,5.20012820157919
477.0,164.16881541582117,5.157987556978895
478.0,175.72442105263133,7.563314389823546
479.0,181.13071255060734,7.541196692912052
480.0,167.16969230769254,9.102957481958128
481.0,171.4478846153847,9.452677865088816
482.0,174.97980566801624,9.189563922731907
483.0,171.96280324543625,8.506948263816895
484.0,174.07522109533457,8.110097341999591
485.0,166.39104048582988,7.846493612091962
486.0,176.5351054766734,7.246924400243756
487.0,172.02167951318478,5.7332500334765655
488.0,163.98028397565923,4.700540695556185
489.0,164.64156592292093,3.8148458912420438
490.0,173.31958859470467,3.665870156674856
491.0,162.32033062880308,3.6475575143097103
492.0,167.52859349593496,4.893216449875325
493.0,169.80780121703884,5.236885819140355
494.0,169.82718864097362,4.178388066855604
495.0,171.7988742393508,3.5583676371206536
496.0,163.10105882352948,4.680536668008244
497.0,161.84969168356997,4.7476871390057624
498.0,167.02385539714882,3.669055875181357
499.0,171.63831034482806,4.242698178706206
500.0,168.9540344827584,3.459187028559228
501.0,166.70981059063166,2.7149279635437154
502.0,159.72465853658537,1.7006410123406113
503.0,168.03494918699178,1.1704245130906372
504.0,156.11043177189458,0.5556492417165373
505.0,163.40485365853658,2.610339285321146
506.0,171.95159349593493,6.669466880090056
507.0,173.24116666666677,9.286979599547806
508.0,170.2325,10.087519998293203
509.0,181.4053441955197,13.35421127768322
510.0,179.32429268292677,15.63418297501022
511.0,168.45404081632654,17.11341709309727
512.0,179.1921510204077,19.51419671886049
513.0,191.92867346938786,21.245647454529745
514.0,192.12933128834356,26.532941907610564
515.0,188.63748979591838,35.153436071678385
516.0,198.92242857142895,45.4850249707458
517.0,208.84034285714336,55.83623243805289
518.0,237.3345693877551,63.50309449483751
